chamber,name,party,state
Camara dos Deputados,Professora Rosa Neide,PT,MT
Camara dos Deputados,Professor Israel Batista,PSB,DF
Camara dos Deputados,Professor Joziel,PATRIOTA,RJ
Camara dos Deputados,Rafael Motta,PSB,RN
Senado,Rafael Tenório,MDB,AL
Camara dos Deputados,Raimundo Costa,PODE,BA
Senado,Randolfe Rodrigues,REDE,AP
Camara dos Deputados,Raul Henry,MDB,PE
Camara dos Deputados,Reginaldo Lopes,PT,MG
Senado,Reguffe,S/Partido,DF
Camara dos Deputados,Rejane Dias,PT,PI
Camara dos Deputados,Renildo Calheiros,PCdoB,PE
Camara dos Deputados,Ricardo Barros,PP,PR
Camara dos Deputados,Ricardo Da Karol,PDT,RJ
Camara dos Deputados,Ricardo Guidi,PSD,SC
Camara dos Deputados,Ricardo Izar,REPUBLICANOS,SP
Camara dos Deputados,Ricardo Silva,PSD,SP
Camara dos Deputados,Ricardo Teobaldo,PODE,PE
Camara dos Deputados,Robério Monteiro,PDT,CE
Senado,Roberth Bringel,UNIÃO,MA
Camara dos Deputados,Roberto Alves,REPUBLICANOS,SP
Camara dos Deputados,Roberto De Lucena,REPUBLICANOS,SP
Senado,Roberto Rocha,PTB,MA
Camara dos Deputados,Rodrigo Agostinho,PSB,SP
Camara dos Deputados,Rodrigo Coelho,PODE,SC
Senado,Rodrigo Cunha,UNIÃO,AL
Camara dos Deputados,Rodrigo De Castro,UNIÃO,MG
Senado,Rodrigo Pacheco,PSD,MG
Senado,Rogério Carvalho,PT,SE
Camara dos Deputados,Rogério Correia,PT,MG
Camara dos Deputados,Rogério Peninha Mendonça,MDB,SC
Senado,Romário,PL,RJ
Camara dos Deputados,Ronaldo Carletto,PP,BA
Camara dos Deputados,Ronaldo Martins,REPUBLICANOS,CE
Camara dos Deputados,Rosana Valle,PL,SP
Camara dos Deputados,Rosangela Gomes,REPUBLICANOS,RJ
Camara dos Deputados,Rose Modesto,UNIÃO,MS
Camara dos Deputados,Rubens Bueno,CIDADANIA,PR
Camara dos Deputados,Rubens Otoni,PT,GO
Camara dos Deputados,Rubens Pereira Júnior,PT,MA
Camara dos Deputados,Rui Falcão,PT,SP
