chamber,name,wikipedia,ID,party,state
Senado,Guaracy Silveira,,,PP,TO
Camara dos Deputados,Guiga Peixoto,https://pt.wikipedia.org/wiki/Guiga_Peixoto,Q59204146,PSC,SP
Camara dos Deputados,Guilherme Mussi,https://pt.wikipedia.org/wiki/Guilherme_Mussi,Q16337536,PP,SP
Camara dos Deputados,Carlos Frederico Deluqui Gurgel,,Q21514415,PL,RJ
Camara dos Deputados,Gustavo Fruet,,,PDT,PR
Camara dos Deputados,Gustinho Ribeiro,https://pt.wikipedia.org/wiki/Gustinho_Ribeiro,Q59204244,REPUBLICANOS,SE
Camara dos Deputados,Gutemberg Reis,https://pt.wikipedia.org/wiki/Gutemberg_Reis,Q59204238,MDB,RJ
Camara dos Deputados,Haroldo Cathedral,,,PSD,RR
Camara dos Deputados,Heitor Freire,https://pt.wikipedia.org/wiki/Heitor_Freire,Q59202672,UNIÃO,CE
Camara dos Deputados,Heitor Schuch,https://pt.wikipedia.org/wiki/Heitor_Schuch,Q19709290,PSB,RS
Camara dos Deputados,Helder Salomão,https://pt.wikipedia.org/wiki/Helder_Salomão,Q10294410,PT,ES
Camara dos Deputados,Hélio Costa,,,PSD,SC
Camara dos Deputados,Hélio Leite,https://pt.wikipedia.org/wiki/Hélio_Leite,Q21290297,UNIÃO,PA
Camara dos Deputados,Helio Lopes,,,PL,RJ
Camara dos Deputados,Herique Fontana,https://pt.wikipedia.org/wiki/Henrique_Fontana,Q10294757,PT,RS
Camara dos Deputados,Hercílio Coelho Diniz,https://pt.wikipedia.org/wiki/Hercílio_Coelho_Diniz,Q59003609,MDB,MG
Camara dos Deputados,Herculano Passos,https://pt.wikipedia.org/wiki/Herculano_Passos,Q19709389,REPUBLICANOS,SP
Camara dos Deputados,Hermes Parcianello,https://pt.wikipedia.org/wiki/Hermes_Parcianello,Q18275726,MDB,PR
Camara dos Deputados,Hildo Rocha,https://pt.wikipedia.org/wiki/Hildo_Rocha,Q24691947,MDB,MA
Camara dos Deputados,Hiran Gonçalves,https://pt.wikipedia.org/wiki/Hiran_Gonçalves,Q20045828,PP,RR
Camara dos Deputados,Hugo Leal,,,PSD,RJ
Camara dos Deputados,Hugo Motta,https://pt.wikipedia.org/wiki/Hugo_Motta,Q10298778,REPUBLICANOS,PB
Senado,Humberto Costa,,,PT,PE
Camara dos Deputados,Idilvan,https://pt.wikipedia.org/wiki/Idilvan_Alencar,Q59203220,PDT,CE
Camara dos Deputados,Igor Kannário,https://pt.wikipedia.org/wiki/Igor_Kannário,Q20048650,UNIÃO,BA
Camara dos Deputados,Igor Timo,https://pt.wikipedia.org/wiki/Igor_Timo,Q59204949,PODE,MG
Camara dos Deputados,Iracema Portela,https://pt.wikipedia.org/wiki/Iracema_Portela,Q10303533,PP,PI
Senado,Irajá,,,PSD,TO
